serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250383
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250403
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250424
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250443
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250464
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250484
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250504
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250524
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250545
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250564
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250585
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250605
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250625
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250645
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250665
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250685
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250705
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250726
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250745
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250766
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250786
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250806
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250826
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250847
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250866
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250887
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250907
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250927
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250947
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250968
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	250987
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251008
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251028
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251047
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251068
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251088
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251108
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251128
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251149
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	251168
serial1: FF 	45 	40 	BA 	serial2: 45 	0 	0 	0 	251189
serial1: BF 	45 	40 	BA 	serial2: 45 	0 	0 	0 	251209
serial1: BF 	45 	40 	BA 	serial2: 45 	0 	0 	0 	251229
serial1: BF 	45 	40 	BA 	serial2: 45 	0 	0 	0 	251249
serial1: BF 	45 	40 	BA 	serial2: 45 	0 	0 	0 	251270
serial1: BF 	46 	40 	B9 	serial2: 45 	1 	0 	0 	251289
serial1: BF 	46 	40 	B9 	serial2: 46 	1 	0 	0 	251310
serial1: BF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251330
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251350
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251370
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251390
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251410
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251430
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251451
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251470
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251491
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251511
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251531
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251551
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251572
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251591
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251612
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251632
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251652
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251672
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251693
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251712
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251732
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251753
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251772
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251793
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251813
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251833
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251853
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251874
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251893
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251914
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251934
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251954
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251974
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	251995
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252014
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252035
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252055
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252075
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252095
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252115
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252135
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252155
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252176
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252195
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252216
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252236
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252256
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252276
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252297
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252316
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252337
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252357
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252377
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252397
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252418
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252437
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252457
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252478
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252497
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252518
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252537
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252558
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252578
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252599
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252618
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252639
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252659
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252679
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252699
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252720
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252739
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252760
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252780
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252800
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252820
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252840
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252860
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252880
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252901
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252920
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252941
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252961
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	252981
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253001
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253022
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253041
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253062
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253082
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253102
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253122
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253143
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253162
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253182
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253203
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253222
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253243
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253263
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253283
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253303
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253324
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253343
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253364
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253384
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253404
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253424
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253445
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253464
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253485
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253505
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253524
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253545
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253565
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253585
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253605
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253626
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253645
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253666
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253686
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253706
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253726
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253747
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253766
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253787
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253807
serial1: FF 	46 	0 	B9 	serial2: 46 	1 	0 	0 	253827
serial1: FF 	46 	80 	B9 	serial2: 46 	1 	0 	0 	253847
serial1: 7F 	46 	80 	B9 	serial2: 46 	1 	0 	0 	253868
serial1: 7F 	46 	80 	B9 	serial2: 46 	1 	0 	0 	253887
serial1: 7F 	46 	80 	B9 	serial2: 46 	1 	0 	0 	253907
serial1: 7F 	46 	80 	B9 	serial2: 46 	1 	0 	0 	253928
serial1: 7F 	45 	80 	BA 	serial2: 46 	0 	0 	0 	253947
serial1: 7F 	45 	80 	BA 	serial2: 45 	0 	0 	0 	253968
serial1: 7F 	45 	80 	BA 	serial2: 45 	0 	0 	0 	253988
serial1: 7F 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254008
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254028
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254048
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254068
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254089
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254109
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254129
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254149
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254170
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254189
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254210
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254230
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254249
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254270
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254290
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254310
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254330
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254351
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254370
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254391
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254411
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254431
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254451
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	254472
