serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8853
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8858
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8873
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8879
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8894
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8898
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8913
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8919
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8934
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8938
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8954
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8960
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8974
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8979
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8994
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	8999
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9015
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9019
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9034
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9039
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9055
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9059
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9075
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9079
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9095
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9099
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9115
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9120
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9136
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9140
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9155
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9160
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9176
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9180
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9196
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9200
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9216
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9221
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9236
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9241
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9256
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9262
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9276
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9281
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9296
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9302
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9317
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9321
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9336
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9341
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9357
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9361
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9377
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9381
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9397
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9402
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9417
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9422
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9438
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9442
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9457
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9462
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9478
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9482
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9498
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9502
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9518
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9522
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9538
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9543
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9559
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9563
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9578
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9583
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9598
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9604
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9619
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9623
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9638
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9644
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9659
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9663
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9679
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9684
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9699
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9704
serial1: 45 	0 	BA 	FF 	serial2: 45 	0 	0 	0 	9719
