
Actual data:
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7233
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7254
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7273
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7293
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7314
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7333
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7354
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7374
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7394
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7414
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7435
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7454
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7475
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7495
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7515
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7535
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7556
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7575
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7596
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7616
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7635
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7656
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7676
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7696
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7716
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7737
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7756
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7777
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7797
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7817
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7837
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7858
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7877
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7898
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	7918
