serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91283
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91303
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91324
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91343
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91364
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91384
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91404
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91424
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91445
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91464
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91485
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91505
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91525
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91545
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91566
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91585
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91606
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91626
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91645
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91666
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91686
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91706
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91726
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91747
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91766
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91787
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91807
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91827
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91847
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91868
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91887
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91908
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91928
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91948
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91968
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	91988
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92008
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92028
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92049
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92068
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92089
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92109
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	92129
